crop,energy,group,NAG,NBG,RAG,RS,DRY,Synonyms
other_fruit,800,G10_Other_Fruits,0.008,0.009,1,0.22,0.85,
other_imp,0,G12_Other,0.008,0.009,1,0.22,0.85,
other_specify,0,G12_Other,0.008,0.009,1,0.22,0.85,
other_veg,720,G9_Other_Vegetables,0.008,0.009,1,0.22,0.85,
other_vegetables,720,G9_Other_Vegetables,0.008,0.009,1,0.22,0.85,
othercereal,3500,G1_Grains_Roots_Tubers,0.006,0.009,1.3,0.22,0.88,
otherfruit,800,G10_Other_Fruits,0.008,0.009,1,0.22,0.85,NA
otherland,0,NA,0,0,0,0,0,
otheroilseed,0,G11_Condiments,NA,NA,NA,NA,NA,
otherpulse,1470,G2_Pulses,0.008,0.008,2.1,0.19,0.91,
otherrootc,580,G1_Grains_Roots_Tubers,0.019,0.014,0.4,0.2,0.22,
otherspice,0,G11_Condiments,0.008,0.009,1,0.22,0.85,
othervegetable,720,G9_Other_Vegetables,0.008,0.009,1,0.22,0.85,NA
otro_no,0,G12_Other,0.008,0.009,1,0.22,0.85,
paddy,3600,G1_Grains_Roots_Tubers,0.007,0.009,1.4,0.16,0.89,rice
paddy_irrigated,3600,G1_Grains_Roots_Tubers,0.007,0.009,1.4,0.16,0.89,rice
paddy_rain,3600,G1_Grains_Roots_Tubers,0.007,0.009,1.4,0.16,0.89,rice
palm,1150,G9_Other_Vegetables,0.008,0.009,1,0.22,0.85,palm_heart
palm_fruit,600,G10_Other_Fruits,0.008,0.009,1,0.22,0.85,acai
palm_heart,1150,G9_Other_Vegetables,0.008,0.009,1,0.22,0.85,
palm_oil,0,G12_Other,0.008,0.009,1,0.22,0.85,oilpalm
palm_oil_tree,0,G12_Other,0.008,0.009,1,0.22,0.85,
palma_aceitera,0,G12_Other,0.008,0.009,1,0.22,0.85,oilpalm
palmito,1150,G9_Other_Vegetables,0.008,0.009,1,0.22,0.85,palm_heart
pamba,0,NA,0.008,0.009,1,0.22,0.85,
papanabo,720,G1_Grains_Roots_Tubers,0.019,0.014,0.4,0.2,0.22,turnip
papaya,430,G8_VitA_Fruits_Vegetables,0.008,0.009,1,0.22,0.85,
paprika,0,G11_Condiments,0.008,0.009,1,0.22,0.85,
parkia_biglobosa,3300,G3_Nuts_Seeds,0.008,0.009,1,0.22,0.85,locust_bean
parsley,360,G11_Condiments,0.008,0.009,1,0.22,0.85,
passion,800,G8_VitA_Fruits_Vegetables,0.008,0.009,1,0.22,0.85,passion_fruit
passion_fruit,800,G8_VitA_Fruits_Vegetables,0.008,0.009,1,0.22,0.85,
pasture,0,G13_Non_Food,0.015,0.012,0.3,0.54,0.9,
patate_douce,770,G1_Grains_Roots_Tubers,0.019,0.014,0.4,0.2,0.22,sweet_potatoes
patchouli,0,G12_Other,0.008,0.009,1,0.22,0.85,
pawpaw,480,G10_Other_Fruits,0.008,0.009,1,0.22,0.85,
pawpaw_papaya,430,G8_VitA_Fruits_Vegetables,0.008,0.009,1,0.22,0.85,
pea,810,G2_Pulses,0.008,0.008,2.1,0.19,0.91,
peach,480,G10_Other_Fruits,0.008,0.009,1,0.22,0.85,
peanut,5500,G3_Nuts_Seeds,0.016,0.009,1,0.22,0.94,
peanut_colorado,5500,G3_Nuts_Seeds,0.016,0.009,1,0.22,0.94,peanut
peanut_largillo,5500,G3_Nuts_Seeds,0.016,0.009,1,0.22,0.94,peanut
pear,600,G10_Other_Fruits,0.008,0.009,1,0.22,0.85,pear
pearl_millet,3760,G1_Grains_Roots_Tubers,0.007,0.009,1.4,0.16,0.9,
pearl_milletmchewere,3760,G1_Grains_Roots_Tubers,0.007,0.009,1.4,0.16,0.9,pearl_millet
pearl_onion,720,G9_Other_Vegetables,0.008,0.009,1,0.22,0.85,onions
peper,200,G9_Other_Vegetables,0.008,0.009,1,0.22,0.85,
pepino,150,G9_Other_Vegetables,0.008,0.009,1,0.22,0.85,cucumber
pepper,200,G9_Other_Vegetables,0.008,0.009,1,0.22,0.85,
pepper_chillie,200,G9_Other_Vegetables,0.008,0.009,1,0.22,0.85,
pepper_spice,0,G11_Condiments,0.008,0.009,1,0.22,0.85,
peppermint,0,G11_Condiments,0.008,0.009,1,0.22,0.85,mint
pig_weed,3710,G1_Grains_Roots_Tubers,0.006,0.009,1.3,0.22,0.88,amaranth
pigeon_pea,810,G2_Pulses,0.008,0.008,2.1,0.19,0.91,
pigeonpeanandolo,810,G2_Pulses,0.008,0.008,2.1,0.19,0.91,
pilu,0,G13_Non_Food,0.008,0.009,1,0.22,0.85,
pinapple,800,G10_Other_Fruits,0.008,0.009,1,0.22,0.85,
pineapple,800,G10_Other_Fruits,0.008,0.009,1,0.22,0.85,
pitahaya,570,G10_Other_Fruits,0.008,0.009,1,0.22,0.85,
plantain,890,G1_Grains_Roots_Tubers,0.008,0.009,1,0.22,0.85,
platÎ£Í£Î¢Í¡no,890,G1_Grains_Roots_Tubers,0.008,0.009,1,0.22,0.85,
plum,460,G10_Other_Fruits,0.008,0.009,1,0.22,0.85,
pointed_gourd,250,G9_Other_Vegetables,0.008,0.009,1,0.22,0.85,gourd
pomegranate,830,G10_Other_Fruits,0.008,0.009,1,0.22,0.85,
pomelo,300,G10_Other_Fruits,0.008,0.009,1,0.22,0.85,grapefruit
pomme_rouge,520,G10_Other_Fruits,0.008,0.009,1,0.22,0.85,apple
pommier_sahel,790,G10_Other_Fruits,0.008,0.009,1,0.22,0.85,jujube
popcorn,3650,G1_Grains_Roots_Tubers,0.006,0.007,1,0.22,0.87,maize
potato,580,G1_Grains_Roots_Tubers,0.019,0.014,0.4,0.2,0.22,
potato_irish,580,G1_Grains_Roots_Tubers,0.019,0.014,0.4,0.2,0.22,
potatoes,580,G1_Grains_Roots_Tubers,0.019,0.014,0.4,0.2,0.22,
prine,460,G10_Other_Fruits,0.008,0.009,1,0.22,0.85,plum
proso_millet,3760,G1_Grains_Roots_Tubers,0.007,0.009,1.4,0.16,0.9,millet
prunes,460,G10_Other_Fruits,0.008,0.009,1,0.22,0.85,
pulses,3530,G2_Pulses,0.008,0.008,2.1,0.19,0.91,
pumpkin,480,G8_VitA_Fruits_Vegetables,0.008,0.009,1,0.22,0.85,
pumpkin_leaves,170,G7_Leafy_Vegetables,0.008,0.009,1,0.22,0.85,
pumpkins,480,G8_VitA_Fruits_Vegetables,0.008,0.009,1,0.22,0.85,pumpkin
purple_vetch,0,G13_Non_Food,0.008,0.009,1,0.22,0.85,
pyrethrum,0,G13_Non_Food,0.008,0.009,1,0.22,0.85,
quinoa,3780,G1_Grains_Roots_Tubers,0.006,0.009,1.3,0.22,0.88,
quinquina,0,G13_Non_Food,0.008,0.009,1,0.22,0.85,
quisquil,190,G9_Other_Vegetables,0.008,0.009,1,0.22,0.85,chayote
radish,160,G9_Other_Vegetables,0.019,0.014,0.4,0.2,0.22,
rambutÎ£Í£Î¢Í¡n,750,G9_Other_Vegetables,0.008,0.009,1,0.22,0.85,
rambutan,750,G9_Other_Vegetables,0.008,0.009,1,0.22,0.85,
rape,1270,G12_Other,0.008,0.009,1,0.22,0.85,rapeseed
rapeseed,1270,G12_Other,0.008,0.009,1,0.22,0.85,
rat_ear,250,G7_Leafy_Vegetables,0.008,0.009,1,0.22,0.85,Peperomia pelludica
rau,200,G9_Other_Vegetables,0.008,0.009,1,0.22,0.85,
red_apple,520,G10_Other_Fruits,0.008,0.009,1,0.22,0.85,apple
red_onion,720,G9_Other_Vegetables,0.008,0.009,1,0.22,0.85,onions
redkidenybean,3370,G2_Pulses,0.008,0.008,2.1,0.19,0.91,
redpepper,200,G9_Other_Vegetables,0.008,0.009,1,0.22,0.85,
rice,3600,G1_Grains_Roots_Tubers,0.007,0.009,1.4,0.16,0.89,
ridge_gaurd,250,G9_Other_Vegetables,0.008,0.009,1,0.22,0.85,gourd
ridge_gourd,250,G9_Other_Vegetables,0.008,0.009,1,0.22,0.85,gourd
ridged_gourd,250,G9_Other_Vegetables,0.008,0.009,1,0.22,0.85,gourd
romier,0,G13_Non_Food,0.008,0.009,1,0.22,0.85,
root_vegetable,580,G1_Grains_Roots_Tubers,0.019,0.014,0.4,0.2,0.22,
roselle,220,G7_Leafy_Vegetables,0.008,0.009,1,0.22,0.85,roselle_sorrel
roselle_hibiscus,0,G11_Condiments,0.008,0.009,1,0.22,0.85,
roselle_kenaf,220,G7_Leafy_Vegetables,0.008,0.009,1,0.22,0.85,roselle_sorrel
roselle_sorrel,220,G7_Leafy_Vegetables,0.008,0.009,1,0.22,0.85,
rosselle_sorrel,220,G7_Leafy_Vegetables,0.008,0.009,1,0.22,0.85,roselle_sorrel
rotstar,0,NA,0.008,0.009,1,0.22,0.85,
rough_pea,810,G2_Pulses,0.008,0.008,2.1,0.19,0.91,
rubber,0,G13_Non_Food,0.008,0.009,1,0.22,0.85,
rue,3600,G1_Grains_Roots_Tubers,0.005,0.011,1.6,0.22,0.88,
russian_comfrey,0,G12_Other,0.008,0.009,1,0.22,0.85,
rye,3600,G1_Grains_Roots_Tubers,0.005,0.011,1.6,0.22,0.88,
sacredbasil,0,G11_Condiments,0.008,0.009,1,0.22,0.85,
safou,2300,G10_Other_Fruits,0.008,0.009,1,0.22,0.85,Dacryodes edulis
salad,150,G7_Leafy_Vegetables,0.008,0.009,1,0.22,0.85,lettuce
salaza,0,NA,0.008,0.009,1,0.22,0.85,
sandia,400,G8_VitA_Fruits_Vegetables,0.008,0.009,1,0.22,0.85,watermelon
sangri,650,G2_Pulses,0.008,0.008,2.1,0.19,0.91,haricot_bean
sapodila,830,G10_Other_Fruits,0.008,0.009,1,0.22,0.85,Manilkara zapota
sasula,0,G13_Non_Food,0.008,0.009,1,0.22,0.85,Impatiens tinctoria
scarlet_gourd,250,G9_Other_Vegetables,0.008,0.009,1,0.22,0.85,gourd
senna,0,NA,0.008,0.009,1,0.22,0.85,
service,0,NA,0,0,0,0,0,
sesam,5730,G3_Nuts_Seeds,0.008,0.009,1,0.22,0.85,
sesame,5730,G3_Nuts_Seeds,0.008,0.009,1,0.22,0.85,
sesame_seed,5730,G3_Nuts_Seeds,0.008,0.009,1,0.22,0.85,sesame
sesbania,4350,G2_Pulses,0.008,0.008,2.1,0.19,0.91,
shaddock_pomelo,300,G10_Other_Fruits,0.008,0.009,1,0.22,0.85,grapefruit
shea,0,G12_Other,0.008,0.009,1,0.22,0.85,Vitellaria paradoxa
shrubs_trees,0,G13_Non_Food,0.008,0.009,1,0.22,0.85,
simsim,5730,G3_Nuts_Seeds,0.008,0.009,1,0.22,0.85,sesame
sinar,0,NA,0.008,0.009,1,0.22,0.85,
sisal,0,G13_Non_Food,0.008,0.009,1,0.22,0.85,NA
skin,0,NA,0,0,0,0,0,livestock product
slender_leaf,200,G7_Leafy_Vegetables,0.008,0.009,1,0.22,0.85,
snake_gourd,250,G9_Other_Vegetables,0.008,0.009,1,0.22,0.85,gourd
soja,1470,G2_Pulses,0.008,0.008,2.1,0.19,0.91,soya_bean
solanum_spp,400,G7_Leafy_Vegetables,0.008,0.009,1,0.22,0.85,black_nightshade
sorgham,3390,G1_Grains_Roots_Tubers,0.007,0.006,1.4,0.22,0.89,sorghum
sorghum,3390,G1_Grains_Roots_Tubers,0.007,0.006,1.4,0.22,0.89,
sorghum_millet_white,3390,G1_Grains_Roots_Tubers,0.007,0.006,1.4,0.22,0.89,sorghum
sorghum_red,3390,G1_Grains_Roots_Tubers,0.007,0.006,1.4,0.22,0.89,sorghum
sorghum_white,3390,G1_Grains_Roots_Tubers,0.007,0.006,1.4,0.22,0.89,sorghum
sorrel,220,G7_Leafy_Vegetables,0.008,0.009,1,0.22,0.85,roselle_sorrel
soursop,660,G10_Other_Fruits,0.008,0.009,1,0.22,0.85,
soy,1470,G2_Pulses,0.008,0.008,2.1,0.19,0.91,soya_bean
soya,1470,G2_Pulses,0.008,0.008,2.1,0.19,0.91,soya_bean
soya_bean,1470,G2_Pulses,0.008,0.008,2.1,0.19,0.91,
soybean,1470,G2_Pulses,0.008,0.008,2.1,0.19,0.91,soya_bean
spices,0,G11_Condiments,0.008,0.009,1,0.22,0.85,
spices_and_herbs,0,G11_Condiments,0.008,0.009,1,0.22,0.85,spices
spider_plant,200,G7_Leafy_Vegetables,0.008,0.009,1,0.22,0.85,
spider_weed,200,G7_Leafy_Vegetables,0.008,0.009,1,0.22,0.85,
spinach,230,G7_Leafy_Vegetables,0.008,0.009,1,0.22,0.85,
spine_guard,250,G9_Other_Vegetables,0.008,0.009,1,0.22,0.85,Spiny gourd
spiny_amaranth,3710,G1_Grains_Roots_Tubers,0.006,0.009,1.3,0.22,0.88,amaranth
sponge_gaurd,0,G13_Non_Food,0.008,0.009,1,0.22,0.85,sponge_gourd
sponge_gourd,0,G13_Non_Food,0.008,0.009,1,0.22,0.85,
squash,265,G8_VitA_Fruits_Vegetables,0.008,0.009,1,0.22,0.85,
star_apple,670,G10_Other_Fruits,0.008,0.009,1,0.22,0.85,
star_fruit,310,G10_Other_Fruits,0.008,0.009,1,0.22,0.85,carambola
strawberry,320,G10_Other_Fruits,0.008,0.009,1,0.22,0.85,
sugarcane,400,G12_Other,0.008,0.009,1,0.22,0.85,
sukuma_wiki,230,G7_Leafy_Vegetables,0.008,0.009,1,0.22,0.85,
sun_hemp,0,G13_Non_Food,0.008,0.009,1,0.22,0.85,cover_crop
sunflower,5700,G3_Nuts_Seeds,0.008,0.009,1,0.22,0.85,
swede_navet,720,G1_Grains_Roots_Tubers,0.019,0.014,0.4,0.2,0.22,turnip
sweet_banana,890,G8_VitA_Fruits_Vegetables,0.008,0.009,1,0.22,0.85,
sweet_pepper,800,G9_Other_Vegetables,0.008,0.009,1,0.22,0.85,
sweet_potato,770,G1_Grains_Roots_Tubers,0.019,0.014,0.4,0.2,0.22,sweet_potatoes
sweet_potato_leaves,280,G7_Leafy_Vegetables,0.008,0.009,1,0.22,0.85,
sweet_potatoes,770,G1_Grains_Roots_Tubers,0.019,0.014,0.4,0.2,0.22,
tacca,0,G13_Non_Food,0.008,0.009,1,0.22,0.85,
tamarin,2400,G10_Other_Fruits,0.008,0.009,1,0.22,0.85,
tamarind,2400,G10_Other_Fruits,0.008,0.009,1,0.22,0.85,
tamarine,2400,G10_Other_Fruits,0.008,0.009,1,0.22,0.85,
tanaposi,150,G7_Leafy_Vegetables,0.008,0.009,1,0.22,0.85,Mpiru
tangelo_citrus,530,G10_Other_Fruits,0.008,0.009,1,0.22,0.85,
tangerine,530,G10_Other_Fruits,0.008,0.009,1,0.22,0.85,
taraw_palm,0,G13_Non_Food,0.008,0.009,1,0.22,0.85,
taro,1180,G1_Grains_Roots_Tubers,0.019,0.014,0.4,0.2,0.22,
tea,0,G11_Condiments,0.008,0.009,1,0.22,0.85,
tef,3670,G1_Grains_Roots_Tubers,0.006,0.009,1.3,0.22,0.88,
teff,3670,G1_Grains_Roots_Tubers,0.006,0.009,1.3,0.22,0.88,
temez,0,NA,0.008,0.009,1,0.22,0.85,
tenebaho,0,NA,0.008,0.009,1,0.22,0.85,
therere_okra,330,G9_Other_Vegetables,0.008,0.009,1,0.22,0.85,okra
thodza,500,G10_Other_Fruits,0.008,0.009,1,0.22,0.85,
timber,0,G13_Non_Food,0.008,0.009,1,0.22,0.85,
timber_tree,0,G13_Non_Food,0.008,0.009,1,0.22,0.85,trees_timber
tindsi_arka_tinda,210,G8_VitA_Fruits_Vegetables,0.008,0.009,1,0.22,0.85,apple_gourd
tiquisque,1180,G1_Grains_Roots_Tubers,0.019,0.014,0.4,0.2,0.22,taro
tobacco,0,G12_Other,0.008,0.009,1,0.22,0.85,
tomato,210,G9_Other_Vegetables,0.008,0.009,1,0.22,0.85,
tomatoes,210,G9_Other_Vegetables,0.008,0.009,1,0.22,0.85,
toriya,250,G9_Other_Vegetables,0.008,0.009,1,0.22,0.85,ridge_gourd
tree_tomato,350,G9_Other_Vegetables,0.008,0.009,1,0.22,0.85,
trees,0,G13_Non_Food,0.008,0.009,1,0.22,0.85,
trees_timber,0,G13_Non_Food,0.008,0.009,1,0.22,0.85,
tumeric,0,G11_Condiments,0.008,0.009,1,0.22,0.85,
tur_redgram_pigeonpea,810,G2_Pulses,0.008,0.008,2.1,0.19,0.91,
turmeric,0,G11_Condiments,0.008,0.009,1,0.22,0.85,
turnip,720,G1_Grains_Roots_Tubers,0.019,0.014,0.4,0.2,0.22,
ukazi,700,G7_Leafy_Vegetables,0.008,0.009,1,0.22,0.85,Gnetum Africanum
ulluco,750,G1_Grains_Roots_Tubers,0.008,0.009,1,0.22,0.85,
unripe_banana,890,G1_Grains_Roots_Tubers,0.008,0.009,1,0.22,0.85,plantain
vanilla,0,G11_Condiments,0.008,0.009,1,0.22,0.85,
vegetables,400,G9_Other_Vegetables,0.008,0.009,1,0.22,0.85,
vetch,0,G13_Non_Food,0.008,0.009,1,0.22,0.85,
voandzou,3500,G2_Pulses,0.008,0.008,2.1,0.19,0.91,bambara_groundnut
walnut,5730,G3_Nuts_Seeds,0.008,0.009,1,0.22,0.85,
wandzou,3500,G2_Pulses,0.008,0.008,2.1,0.19,0.91,bambara_groundnut
water_hyachinth,0,G13_Non_Food,0.008,0.009,1,0.22,0.85,NA
water_lily,0,G13_Non_Food,0.008,0.009,1,0.22,0.85,NA
water_melon,400,G8_VitA_Fruits_Vegetables,0.008,0.009,1,0.22,0.85,watermelon
water_mimosa,0,G13_Non_Food,0.008,0.009,1,0.22,0.85,NA
water_primrose,0,G13_Non_Food,0.008,0.009,1,0.22,0.85,NA
water_spinach,230,G7_Leafy_Vegetables,0.008,0.009,1,0.22,0.85,
watermelon,400,G8_VitA_Fruits_Vegetables,0.008,0.009,1,0.22,0.85,
watermleon,400,G8_VitA_Fruits_Vegetables,0.008,0.009,1,0.22,0.85,watermelon
wax_gourd,250,G9_Other_Vegetables,0.008,0.009,1,0.22,0.85,gourd
wet_rice,3600,G1_Grains_Roots_Tubers,0.007,0.009,1.4,0.16,0.89,
wheat,3400,G1_Grains_Roots_Tubers,0.006,0.009,1.3,0.23,0.89,
wheat_bread,3400,G1_Grains_Roots_Tubers,0.006,0.009,1.3,0.23,0.89,wheat
wheat_durum,3400,G1_Grains_Roots_Tubers,0.006,0.009,1.3,0.23,0.89,wheat
white_carrot,480,G8_VitA_Fruits_Vegetables,0.008,0.009,1,0.22,0.85,carrot
white_goosefoot,430,G7_Leafy_Vegetables,0.008,0.009,1,0.22,0.85,
white_leadtree,0,G13_Non_Food,0.008,0.009,1,0.22,0.85,
white_onion,720,G9_Other_Vegetables,0.008,0.009,1,0.22,0.85,onions
white_yam,1180,G1_Grains_Roots_Tubers,0.019,0.014,0.4,0.2,0.22,yam
whitecumin,0,G11_Condiments,0.008,0.009,1,0.22,0.85,
whole,1200,G5_Meat_Fish,0,0,0,0,0,average livestock
wild_apple,520,G10_Other_Fruits,0.008,0.009,1,0.22,0.85,apple
wild_grape,720,G10_Other_Fruits,0.008,0.009,1,0.22,0.85,grape
wing_bean,500,G2_Pulses,0.008,0.008,2.1,0.19,0.91,
winged_bean,500,G2_Pulses,0.008,0.008,2.1,0.19,0.91,
woandzou,3500,G2_Pulses,0.008,0.008,2.1,0.19,0.91,bambara_groundnut
woodland,0,G13_Non_Food,0.008,0.009,1,0.22,0.85,
woodlot,0,G13_Non_Food,0.008,0.009,1,0.22,0.85,
yam,1180,G1_Grains_Roots_Tubers,0.019,0.014,0.4,0.2,0.22,
yams,1180,G1_Grains_Roots_Tubers,0.019,0.014,0.4,0.2,0.22,yam
yardlong_bean,1470,G2_Pulses,0.008,0.008,2.1,0.19,0.91,NA
yarlong_bean,1470,G2_Pulses,0.008,0.008,2.1,0.19,0.91,NA
yellow_carrot,480,G8_VitA_Fruits_Vegetables,0.008,0.009,1,0.22,0.85,carrot
ylang_ylang,0,G13_Non_Food,0.008,0.009,1,0.22,0.85,
yuca,1600,G1_Grains_Roots_Tubers,0.019,0.014,0.4,0.2,0.22,cassava
yucca,1600,G1_Grains_Roots_Tubers,0.019,0.014,0.4,0.2,0.22,cassava
yute,0,G13_Non_Food,0.008,0.009,1,0.22,0.85,
zaban,700,G10_Other_Fruits,0.008,0.009,1,0.22,0.85,Saba Senegalensis
zambo,250,G9_Other_Vegetables,0.008,0.009,1,0.22,0.85,gourd
zapallo,265,G8_VitA_Fruits_Vegetables,0.008,0.009,1,0.22,0.85,butternut_squash
zucchini,170,G9_Other_Vegetables,0.008,0.009,1,0.22,0.85,
zuurzak,660,G10_Other_Fruits,0.008,0.009,1,0.22,0.85,soursop
